wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
464.499,6.24,6.63,6.04,6.77,5.48,6.8,3.62,8.33,6.42,4.97
464.853,6.27,6.67,6.06,6.83,5.52,6.85,3.67,8.39,6.46,5.07
465.208,6.32,6.7,6.05,6.79,5.48,6.86,3.69,8.31,6.46,5.06
465.562,6.26,6.68,6.06,6.78,5.5,6.88,3.67,8.27,6.46,5.03
465.916,6.22,6.65,5.99,6.76,5.54,6.84,3.67,8.27,6.39,5.01
466.271,6.27,6.66,6.03,6.83,5.58,6.85,3.76,8.34,6.46,5.05
466.625,6.33,6.69,6.05,6.83,5.6,6.85,3.79,8.44,6.41,5.11
466.979,6.33,6.67,6.03,6.77,5.56,6.84,3.75,8.41,6.39,5.08
467.333,6.27,6.74,6.05,6.75,5.55,6.79,3.73,8.39,6.39,5.02
467.688,6.26,6.72,6.02,6.77,5.51,6.77,3.7,8.35,6.4,4.99
468.042,6.25,6.76,6.04,6.82,5.54,6.78,3.69,8.38,6.41,5.03
468.396,6.3,6.77,6.1,6.93,5.58,6.87,3.77,8.4,6.5,5.09
468.75,6.32,6.8,6.09,6.94,5.64,6.92,3.8,8.41,6.52,5.05
469.104,6.3,6.84,6.15,6.97,5.65,6.93,3.83,8.48,6.53,5.1
469.458,6.32,6.84,6.11,6.98,5.59,6.9,3.77,8.45,6.48,5.1
469.811,6.38,6.87,6.22,6.99,5.57,6.9,3.77,8.46,6.55,5.15
470.165,6.3,6.8,6.18,6.91,5.48,6.86,3.7,8.38,6.43,5.07
470.519,6.26,6.73,6.16,6.88,5.43,6.8,3.66,8.31,6.46,5
470.873,6.24,6.69,6.15,6.94,5.46,6.8,3.71,8.32,6.45,4.98
471.227,6.28,6.66,6.2,7,5.48,6.87,3.74,8.34,6.49,5.03
471.58,6.26,6.68,6.25,7.02,5.53,6.92,3.79,8.35,6.52,5.07
471.934,6.3,6.7,6.27,7.01,5.53,6.99,3.83,8.35,6.54,5.08
472.287,6.3,6.75,6.25,7,5.55,7.02,3.83,8.38,6.53,5.09
472.641,6.34,6.71,6.25,6.98,5.49,6.96,3.8,8.34,6.5,5.07
472.995,6.39,6.68,6.25,6.97,5.52,6.96,3.81,8.35,6.49,5.05
473.348,6.41,6.7,6.3,6.97,5.53,7.03,3.91,8.37,6.51,5.07
473.701,6.4,6.7,6.29,6.96,5.52,7.06,3.93,8.35,6.5,5.06
474.055,6.39,6.74,6.28,6.96,5.54,7.03,3.9,8.37,6.6,5.08
474.408,6.47,6.8,6.33,7.03,5.6,7.14,3.96,8.4,6.62,5.15
474.761,6.49,6.77,6.37,7.02,5.63,7.12,3.94,8.43,6.62,5.19
475.115,6.5,6.75,6.32,6.98,5.61,7.12,3.9,8.41,6.56,5.12
